"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"40",="4938","和碩","市","03/08","73.2","-0.3","-0.41","10","266","266","1,949","13.7","10.7","有","","有","有","","","電腦及週邊設備業","童子賢","廖賜政"
"41",="8046","南電","市","03/08","279.5","-15.5","-5.25","10","64.6","64.6","1,806","23.4","14.9","有","","有","","","","電子零組件業","吳嘉昭","湯安得"
"42",="1590","亞德客-KY","市","03/08","950","+6","+0.64","10","18.9","18.9","1,796","11.5","10.2","有","","有","","","","電機機械","王世忠","王世忠"
"43",="2801","彰銀","市","03/08","17.1","0","0","10","1,038","1,038","1,776","70.7","59.1","有","有","有","","","","銀行業","凌忠嫄","黃瑞沐"
"44",="5876","上海商銀","市","03/08","39.6","+0.2","+0.51","10","448","448","1,775","66.5","2.4","","","有","有","","","銀行業","榮鴻慶","林志宏"
"45",="2409","友達","市","03/08","18.2","-0.3","-1.62","10","962","962","1,752","24.6","20.5","有","有","有","","","","光電業","彭又又浪","柯富仁"
"46",="2633","台灣高鐵","市","03/08","30.55","-0.05","-0.16","10","563","563","1,719","22.8","4.4","有","","有","","有","","航運業","江耀宗","鄭光遠"
"47",="5347","世界","櫃","03/08","103.5","-2.5","-2.36","10","164","164","1,696","26.3","23","有","","有","","","","半導體業","方略","方略"
"48",="9910","豐泰","市","03/08","191","-1.5","-0.78","10","88.2","88.2","1,684","49.6","29.1","","","","","","","其他業","王建弘","陳昭吉"
"49",="3481","群創","市","03/08","16.6","+0.05","+0.3","10","971","971","1,612","18.1","14.4","有","有","有","","","","光電業","洪進揚","楊柱祥"
"50",="3105","穩懋","櫃","03/08","380","+9","+2.43","10","42.4","42.4","1,611","21.4","9.2","有","","有","","有","","半導體業","陳進財","陳國樺"
"51",="1402","遠東新","市","03/08","29.3","-0.05","-0.17","10","535","535","1,568","67.2","53.9","有","有","有","有","","","紡織纖維","徐旭東","吳高山,曾裕賢,鄭澄宇"
"52",="6669","緯穎","市","03/08","837","+5","+0.6","10","17.5","17.5","1,463","9","2","有","","有","","","","電腦及週邊設備業","林憲銘","洪麗(宓冉)"
"53",="2474","可成","市","03/08","192","-1.5","-0.78","10","76.2","76.2","1,462","36.3","19.5","有","有","有","","","","其他電子業","洪水樹","洪天賜"
"54",="1102","亞泥","市","03/08","43.45","+0.3","+0.7","10","336","336","1,461","64","58.8","有","","有","有","","","水泥工業","徐旭東","李坤炎"
"55",="2345","智邦","市","03/08","259.5","+3.5","+1.37","10","55.9","55.9","1,449","33.1","25.3","有","","有","有","","","通信網路業","郭飛龍","馬思睿"
"56",="2049","上銀","市","03/08","432","+16","+3.85","10","33.1","33.1","1,429","31.4","11.7","有","","有","","","","電機機械","卓文恒","蔡惠卿"
"57",="2887","台新金","市","03/08","13","-0.05","-0.38","10","1,171","1,091","1,418","19.1","19.1","有","有","有","有","","有","金控業","吳東亮","林維俊"
"58",="2883","開發金","市","03/08","9.46","+0.02","+0.21","10","1,497","1,497","1,416","19.2","19.2","有","","有","有","","","金控業","張家祝","Stefano Paolo Bertamini"
"59",="2105","正新","市","03/08","43.45","+0.5","+1.16","10","324","324","1,408","51.2","33.3","有","","有","有","","","橡膠工業","陳榮華","陳榮華"
"60",="2301","光寶科","市","03/08","58.5","+0.1","+0.17","10","235","235","1,375","32","25.3","有","","有","","","","電腦及週邊設備業","宋明峰","邱森彬"
"61",="3037","欣興","市","03/08","90.2","-1","-1.1","10","150","150","1,357","31.1","22.2","有","","有","","","","電子零組件業","曾子章","李嘉彬、郭政輝"
"62",="2890","永豐金","市","03/08","11.8","+0.05","+0.43","10","1,128","1,128","1,331","18.8","18.8","有","有","有","有","","有","金控業","陳思寬","朱士廷"
"63",="2377","微星","市","03/08","148","+2.5","+1.72","10","84.5","84.5","1,250","34.6","22.4","有","有","有","","","","電腦及週邊設備業","徐祥","黃金請"
"64",="8454","富邦媒","市","03/08","868","-10","-1.14","10","14","14","1,216","16.4","6.2","","","","","","","貿易百貨業","林啟峰","谷元宏"
"65",="1476","儒鴻","市","03/08","435.5","+5","+1.16","10","27.4","27.4","1,195","43.3","19.9","有","","有","","","","紡織纖維","洪鎮海","蔡俊嶔/陳坤鎕"
"66",="8464","億豐","市","03/08","402","-8","-1.95","10","29.3","29.3","1,178","13.6","5.2","","","有","","","","其他業","粘耿豪","粘耿豪"
"67",="5269","祥碩","市","03/08","1690","+15","+0.9","10","6.92","6.92","1,170","17","8.2","有","","有","","","","半導體業","沈振來","林哲偉"
"68",="2492","華新科","市","03/08","240.5","-8.5","-3.41","10","48.6","48.6","1,168","50.6","23.3","有","","有","","","","電子零組件業","焦佑衡","張瑞宗"
"69",="4958","臻鼎-KY","市","03/08","119","-0.5","-0.42","10","94.7","94.7","1,127","14.8","9.2","有","","有","有","","","電子零組件業","沈慶芳","李定轉"
"70",="2823","中壽","市","03/08","23","0","0","10","473","473","1,088","57.9","26.1","有","","有","","","","保險業","黃淑芬","黃淑芬"
"71",="2888","新光金","市","03/08","8.34","+0.08","+0.97","10","1,310","1,302","1,086","19","19","有","","有","有","","有","金控業","許澎","吳欣儒"
"72",="2344","華邦電","市","03/08","27.1","-0.3","-1.09","10","398","398","1,079","33.4","25.4","有","","有","","","","半導體業","焦佑鈞","陳沛銘"
"73",="9921","巨大","市","03/08","281.5","0","0","10","37.5","37.5","1,056","48.4","26.2","","","有","","","","其他業","杜(糸秀)珍","劉湧昌"
"74",="2615","萬海","市","03/08","45.4","-0.45","-0.98","10","222","222","1,007","56","24.8","","","有","有","","","航運業","久福花園股份有限公司","謝福隆"
"75",="2324","仁寶","市","03/08","22.4","0","0","10","441","441","987","36.8","29.1","有","有","有","","","","電腦及週邊設備業","許勝雄","翁宗斌"
"76",="2354","鴻準","市","03/08","69","-1","-1.43","10","141","141","976","30.9","24.4","有","","","","","","其他電子業","李光曜","李翰明"
"77",="6409","旭隼","市","03/08","1110","-20","-1.77","10","8.74","8.74","971","12.9","6.9","","","","","","","其他電子業","謝卓明","謝卓明"
"78",="4966","譜瑞-KY","櫃","03/08","1195","+10","+0.84","10","8.08","8.08","966","15.3","9.5","","","有","","","","半導體業","趙捷","曲明"
"79",="4743","合一","櫃","03/08","250","-15","-5.66","10","37.7","37.7","943","12.8","9.5","","","有","","","","生技醫療業","黃山內","黃山內"
"80",="5483","中美晶","櫃","03/08","157.5","-2.5","-1.56","10","58.6","58.6","923","40.1","20","有","","有","","","","半導體業","徐秀蘭","姚宕梁"
"81",="2356","英業達","市","03/08","25.7","+0.5","+1.98","10","359","359","922","45.7","24.3","有","","有","","","","電腦及週邊設備業","卓桐華","巫永財"
"82",="3231","緯創","市","03/08","31.8","+0.15","+0.47","10","284","284","903","19.8","17.6","有","有","有","有","","","電腦及週邊設備業","林憲銘","林建勳/沈慶堯"
"83",="9904","寶成","市","03/08","30.5","0","0","10","295","295","899","51.5","31.1","有","","有","","","","其他業","詹陸銘","盧金柱"
"84",="8299","群聯","櫃","03/08","454","+6","+1.34","10","19.7","19.7","895","20.3","16.3","有","","有","","","","半導體業","潘健成","歐陽志光"
"85",="2609","陽明","市","03/08","26.8","+0.75","+2.88","10","317","260","697","48.2","28.9","","","","有","有","","航運業","鄭貞茂","杜書勤"
"86",="9914","美利達","市","03/08","282","+3","+1.08","10","29.9","29.9","843","48.4","28.4","有","","有","","","","其他業","曾崧柱","曾崧柱"
"87",="2353","宏碁","市","03/08","27.05","+0.65","+2.46","10","305","305","824","44.6","24.5","有","有","有","","","","電腦及週邊設備業","陳俊聖","陳俊聖"
"88",="2360","致茂","市","03/08","194.5","-1.5","-0.77","10","42.1","42.1","819","36.3","24.2","有","","有","","","","其他電子業","黃欽明","黃欽明"
"89",="2347","聯強","市","03/08","48.7","-0.05","-0.1","10","167","167","812","32.5","25.2","有","","有","","","","電子通路業","苗豐強","杜書伍"
"90",="6239","力成","市","03/08","100","+0.7","+0.7","10","77.9","77.9","779","23.8","17.9","有","","有","","","","半導體業","蔡篤恭","呂肇祥"
"91",="2227","裕日車","市","03/08","258.5","+1","+0.39","10","30","30","776","17.4","16.2","","","","","","","汽車工業","嚴陳莉蓮","李振成"
"92",="3702","大聯大","市","03/08","44.9","-0.35","-0.77","10","188","168","754","15.3","15.3","有","","有","","","有","電子通路業","黃偉祥","張蓉崗"
"93",="2337","旺宏","市","03/08","40.15","-0.2","-0.5","10","186","186","745","31.2","26","有","","有","","有","","半導體業","吳敏求","盧志遠"
"94",="2610","華航","市","03/08","13.5","-0.15","-1.1","10","542","542","732","61.5","28","","","","有","","","航運業","謝世謙","謝世謙"
"95",="3044","健鼎","市","03/08","137.5","-2.5","-1.79","10","52.6","52.6","723","29.2","20.3","有","","有","","","","電子零組件業","王景春","王景春"
"96",="2834","臺企銀","市","03/08","9.52","-0.03","-0.31","10","749","749","713","70.5","23.2","有","","有","","有","","銀行業","黃博怡","張志堅"
"97",="2618","長榮航","市","03/08","14.65","-0.15","-1.01","10","485","485","711","31.9","21.4","有","","有","有","","","航運業","林寶水","孫嘉明"
"98",="2385","群光","市","03/08","93.9","-0.4","-0.42","10","73.9","73.9","694","38","22.2","","","有","","","","電子零組件業","許崑泰","呂進宗"
"99",="2371","大同","市","03/08","28.15","-0.3","-1.05","10","234","234","659","70.9","59.1","有","有","","有","","","電機機械","盧明光","鍾依文"
"100",="1504","東元","市","03/08","30.7","+0.15","+0.49","10","214","214","657","64.7","47.3","有","","有","有","","","電機機械","邱純枝","連昭志"
"101",="6121","新普","櫃","03/08","353","-1","-0.28","10","18.5","18.5","653","28.9","19.3","有","","有","","","","電腦及週邊設備業","宋福祥","宋福祥"
